Case,OCC_DATE,OCC_TIME,CASE_STATUS_DESC,UCR,UCR_EXT_CODE,OFFENSE_DESC,Bias Type,LOC_CODE,Location_Description,DeIdentifiedLocation,X_COORDINATE,Y_COORDINATE
2014366712,7/15/2014 0:00,1910,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1313,1313-0,ASSAULT - SIMPLE,ANTI-HISPANIC,12,GROCERY/SUPERMARKET                                                            ,5100 BLOCK N CHAMBERS RD,3193189,1711503
2014403171,8/2/2014 0:00,2230,INACTIVE - EARLY CASE CLOSURE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,20,RESIDENCE/HOME                                                                 ,4000 BLOCK N ORLEANS ST,3214178,1706958
2014430788,8/16/2014 0:00,2030,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1300 BLOCK GLENARM PL,3142393,1695228
2014430788,8/16/2014 0:00,2030,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1313,1313-0,ASSAULT - SIMPLE,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1300 BLOCK GLENARM PL,3142393,1695228
2014453146,8/28/2014 0:00,830,REFUSED BY DA - OTHER REASON,1313,1313-0,ASSAULT - SIMPLE,ANTI-MALE HOMOSEXUAL (GAY),7,CONVENIENCE STORE                                                              ,1300 BLOCK W COLFAX AVE,3139597,1694681
2014487434,9/13/2014 0:00,2030,INACTIVE,1205,1205-0,ROBBERY - STREET,ANTI-FEMALE HOMOSEXUAL (LESBIAN),50,PARK/PLAYGROUND                                                                ,3700 BLOCK N MARION ST,3148393,1705678
2014489264,9/15/2014 0:00,1900,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-WHITE,25,OTHER/UNKNOWN                                                                  ,16TH ST / CURTIS ST,3142057,1697444
2014530462,10/6/2014 0:00,1030,INACTIVE,1316,1316-0,THREATS TO INJURE,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,5200 BLOCK E COLFAX AVE,3161316,1695098
2014555832,10/19/2014 0:00,930,REFUSED BY DA - INSUFFICIENT ID EVID,1315,1315-0,AGGRAVATED ASSAULT,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,2600 BLOCK WELTON ST,3146602,1700044
2014590263,10/25/2014 0:00,1200,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5309,5309-3,HARASSMENT - SEXUAL IN NATURE,ANTI-ASIAN/PACIFIC ISLANDER,20,RESIDENCE/HOME                                                                 ,4500 BLOCK S MONACO ST,3166184,1655058
2014626738,11/24/2014 0:00,2300,INACTIVE,1205,1205-0,ROBBERY - STREET,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,2300 BLOCK COURT PL,3146255,1698169
